date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:04:07	330/330	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2011%20Dec%202021%2009:34:07%20GMT	http://localhost:8080/purvatraders	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders.0.delayed	(from )
15:04:07	283/283	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Dec%202021%2009:34:07%20GMT	http://localhost:8080/robots.txt		(from )
15:04:08	148594/148594	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Dec%202021%2009:24:20%20GMT	http://localhost:8080/purvatraders/	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/index.html	(from )
15:04:08	6943/6943	---M--	200	added ('OK')	image/png	etag:%221b1f-5d2db32e465cc%22	http://localhost:8080/purvatraders/wp-content/uploads/2021/12/PinClipart.com_container-ship-clipart_1239844-300x300.png	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/uploads/2021/12/PinClipart.com_container-ship-clipart_1239844-300x300.png	(from http://localhost:8080/purvatraders/)
15:04:08	516202/516202	---M--	200	added ('OK')	text/css	etag:%227e06a-5d2db64b11852%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-4ee073c9.min.css	(from http://localhost:8080/purvatraders/)
15:04:10	866/866	---M-Z	200	added ('OK')	application/rss+xml	etag:%2213801e8195a5a4fdf0afa76ad4c5db2d%22	http://localhost:8080/purvatraders/feed/	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/feed/index.html	(from http://localhost:8080/purvatraders/)
15:04:10	760/760	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b51f169bb15a2bc73e05b402ae14da3c%22	http://localhost:8080/purvatraders/comments/feed/	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/comments/feed/index.html	(from http://localhost:8080/purvatraders/)
15:04:12	15056/15056	---M--	200	added ('OK')	application/javascript	etag:%223ad0-5d2db64b25df6%22	http://localhost:8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-6ee40810.min.js	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-content/cache/wpo-minify/1639214591/assets/wpo-minify-header-6ee40810.min.js	(from http://localhost:8080/purvatraders/)
15:04:13	870/870	---M--	200	added ('OK')	text/xml	date:Sat,%2011%20Dec%202021%2009:34:12%20GMT	http://localhost:8080/purvatraders/xmlrpc.php?rsd	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/xmlrpc0db0.php	(from http://localhost:8080/purvatraders/)
15:04:13	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost:8080/purvatraders/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/purva/localhost_8080/purvatraders/wp-includes/wlwmanifest.xml	(from http://localhost:8080/purvatraders/)
